time,open,high,low,close,volume,amount,bid1,bid1_vol,ask1,ask1_vol
1770776404000.0,2.087,2.088,2.087,2.088,65.0,13571.0,0.0,0.0,0.0,0.0
1770776407000.0,2.088,2.088,2.088,2.088,520.0,108576.0,0.0,0.0,0.0,0.0
1770776413000.0,2.088,2.088,2.088,2.088,201.0,41969.0,0.0,0.0,0.0,0.0
1770776416000.0,2.088,2.088,2.088,2.088,10.0,2088.0,0.0,0.0,0.0,0.0
1770776422000.0,2.088,2.089,2.088,2.089,524.0,109418.0,0.0,0.0,0.0,0.0
1770776431000.0,2.089,2.089,2.088,2.088,100.0,20880.0,0.0,0.0,0.0,0.0
1770776434000.0,2.088,2.091,2.088,2.091,5925.0,1238362.0,0.0,0.0,0.0,0.0
1770776437000.0,2.091,2.091,2.09,2.09,78.0,16295.999999970198,0.0,0.0,0.0,0.0
1770776440000.0,2.09,2.09,2.09,2.09,2.0,419.00000005960464,0.0,0.0,0.0,0.0
1770776443000.0,2.09,2.091,2.09,2.091,186.0,38890.9999999702,0.0,0.0,0.0,0.0
1770776446000.0,2.091,2.094,2.091,2.094,6954.0,1455731.0,0.0,0.0,0.0,0.0
1770776449000.0,2.094,2.095,2.094,2.095,24574.0,5146090.0,0.0,0.0,0.0,0.0
1770776452000.0,2.095,2.095,2.094,2.094,407.0,85230.0,0.0,0.0,0.0,0.0
1770776455000.0,2.094,2.095,2.094,2.095,55.0,11528.0,0.0,0.0,0.0,0.0
1770776458000.0,2.095,2.096,2.095,2.096,10.0,2095.0000000298023,0.0,0.0,0.0,0.0
1770776461000.0,2.096,2.096,2.095,2.095,629.0,131797.9999999702,0.0,0.0,0.0,0.0
1770776464000.0,2.095,2.096,2.095,2.096,51.0,10689.000000029802,0.0,0.0,0.0,0.0
1770776467000.0,2.096,2.096,2.096,2.096,52.0,10905.0,0.0,0.0,0.0,0.0
1770776470000.0,2.096,2.097,2.096,2.097,92.0,19291.999999970198,0.0,0.0,0.0,0.0
1770776473000.0,2.097,2.097,2.096,2.096,3365.0,705655.0,0.0,0.0,0.0,0.0
1770776479000.0,2.096,2.098,2.096,2.098,4818.0,1010816.0,0.0,0.0,0.0,0.0
1770776482000.0,2.098,2.098,2.097,2.097,194.0,40690.0,0.0,0.0,0.0,0.0
1770776488000.0,2.097,2.097,2.097,2.097,460.0,96462.0,0.0,0.0,0.0,0.0
1770776491000.0,2.097,2.098,2.097,2.098,40.0,8392.0,0.0,0.0,0.0,0.0
1770776494000.0,2.098,2.098,2.098,2.098,642.0,134692.0,0.0,0.0,0.0,0.0
1770776497000.0,2.098,2.098,2.097,2.097,2031.0,425925.0,0.0,0.0,0.0,0.0
1770776500000.0,2.097,2.097,2.097,2.097,40.0,8389.0,0.0,0.0,0.0,0.0
1770776503000.0,2.097,2.098,2.097,2.098,126.0,26435.0,0.0,0.0,0.0,0.0
1770776509000.0,2.098,2.098,2.098,2.098,36.0,7552.0,0.0,0.0,0.0,0.0
1770776518000.0,2.098,2.098,2.098,2.098,70.0,14688.000000029802,0.0,0.0,0.0,0.0
1770776521000.0,2.098,2.098,2.098,2.098,2.0,418.9999999701977,0.0,0.0,0.0,0.0
1770776524000.0,2.098,2.099,2.098,2.099,5066.0,1063354.0,0.0,0.0,0.0,0.0
1770776527000.0,2.099,2.099,2.099,2.099,5024.0,1054535.0,0.0,0.0,0.0,0.0
1770776530000.0,2.099,2.099,2.099,2.099,120.0,25188.0,0.0,0.0,0.0,0.0
1770776533000.0,2.099,2.099,2.098,2.098,107.0,22449.0,0.0,0.0,0.0,0.0
1770776545000.0,2.098,2.098,2.098,2.098,2.0,420.0,0.0,0.0,0.0,0.0
1770776548000.0,2.098,2.098,2.098,2.098,17.0,3566.0,0.0,0.0,0.0,0.0
1770776551000.0,2.098,2.1,2.098,2.1,672.0,141086.0,0.0,0.0,0.0,0.0
1770776554000.0,2.1,2.1,2.098,2.098,380.0,79724.0,0.0,0.0,0.0,0.0
1770776560000.0,2.098,2.1,2.098,2.1,1.0,210.0,0.0,0.0,0.0,0.0
1770776566000.0,2.1,2.1,2.099,2.099,21.0,4410.000000029802,0.0,0.0,0.0,0.0
1770776569000.0,2.099,2.1,2.099,2.1,2960.0,621599.9999999702,0.0,0.0,0.0,0.0
1770776572000.0,2.1,2.101,2.1,2.101,484.0,101688.0,0.0,0.0,0.0,0.0
1770776575000.0,2.101,2.101,2.101,2.101,1134.0,238252.0,0.0,0.0,0.0,0.0
1770776578000.0,2.101,2.104,2.101,2.104,2401.0,505059.0,0.0,0.0,0.0,0.0
1770776581000.0,2.104,2.105,2.104,2.105,1145.0,241082.0,0.0,0.0,0.0,0.0
1770776584000.0,2.105,2.105,2.105,2.105,97.0,20423.0,0.0,0.0,0.0,0.0
